"Store.no","Item.no","NS.ar","NS.diff","NS.ma","S.ar","S.diff","S.ma","AIC.value","SSE.value"
1,1,1,0,1,1,1,1,222.088182830038,96.172189716502
1,2,2,0,1,1,1,1,-1150.57925764909,37.3843794246719
1,3,1,0,1,2,1,1,-519.684594464357,57.7200719454778
1,4,1,0,1,1,1,2,278.374428211551,100.436402129224
1,5,1,0,1,1,1,1,553.951922331538,120.793853649753
1,6,1,0,1,1,1,1,-1148.85457548456,37.4386457130845
1,7,1,0,1,1,1,1,-1043.86023620123,40.5950736081469
1,8,1,0,1,1,1,2,-1560.97682085914,28.191729285433
1,9,1,0,1,1,1,1,-962.534904680622,42.6023623700635
1,10,1,0,1,2,1,1,-1412.82219228486,31.2327774264699
1,11,1,0,1,1,1,1,-1461.26235883203,30.3418239851602
1,12,1,0,1,1,1,1,-1425.66165368618,31.2616044932592
1,13,1,0,1,2,1,1,-1676.37104699964,26.1692409239386
1,14,1,0,1,1,1,1,-1190.00395622882,36.4338683874163
1,15,1,0,1,1,1,1,-1581.07319646985,27.8393457049788
1,16,1,0,1,1,1,1,-5.58800325415541,82.6693872434845
1,17,1,0,1,1,1,1,-364.845147341872,64.2589526770512
1,18,1,0,1,1,1,1,-1659.85414580029,26.5205061112228
1,19,1,0,1,1,1,2,-515.85353806635,57.8541601112111
1,20,1,0,2,1,1,1,-968.154837505313,42.3915971599914
1,21,1,0,1,1,1,1,-653.571227570008,52.672198131148
1,22,1,0,1,1,1,2,-1574.8468441901,27.9210996882131
1,23,1,0,1,1,1,1,80.8490379768182,87.9032740809322
1,24,1,0,1,1,1,2,-1334.68631108978,32.920112918953
1,25,1,0,1,1,1,1,-1619.93721510912,27.1056845256245
1,26,1,0,1,2,1,1,-842.954043174012,46.223511341107
1,27,1,0,1,1,1,1,334.018953360484,104.297605219307
1,28,1,0,2,1,1,1,-1734.79817939048,25.0203939700287
1,29,1,0,1,1,1,1,-1480.23529606373,30.0574741230836
1,30,1,0,1,1,1,1,-624.550105707807,53.6981283670457
1,31,1,0,2,1,1,1,-1151.05040624792,37.388232724896
1,32,1,0,1,1,1,1,-775.262845348837,48.7607339781935
1,33,1,0,1,2,1,1,-1410.34361315462,31.3357720167592
1,34,1,0,1,1,1,1,-41.3263221222669,80.2755407745954
1,35,1,0,1,2,1,1,-1358.21226342244,32.4316447010554
1,36,1,0,1,1,1,2,-1617.47263121265,27.0970039694181
1,37,1,0,1,1,1,2,-174.779610772655,73.077636347142
1,38,1,0,1,1,1,2,-1591.41940049739,27.6696032845651
1,39,1,0,1,1,1,1,-771.565901270229,48.5451354209358
1,40,1,0,1,1,1,1,-248.758729307008,69.5637257435559
1,41,1,0,2,1,1,1,358.530154610772,106.270204942444
1,42,1,0,2,1,1,1,-669.002599221176,52.0763863182282
1,43,1,0,1,2,1,1,-1012.52530248283,41.1577975408392
1,44,1,0,2,1,1,1,-182.769768857243,72.7243723569621
1,45,1,0,1,1,1,1,-1608.93684290131,27.4464733423702
1,46,1,0,1,2,1,1,-1104.78740285421,38.5938795891824
1,47,1,0,1,1,1,1,180.813702739135,93.6312350503776
1,48,1,0,1,2,1,1,-948.677226479574,42.8671970440298
1,49,1,0,1,1,1,1,-229.436626500052,70.5577533870898
1,50,1,0,1,1,1,1,-1270.94679393389,34.4574737731684
2,1,1,0,1,1,1,1,-295.181386445733,67.4041226613352
2,2,1,0,1,2,1,1,-1670.41499590454,26.1753408894597
2,3,1,0,1,1,1,1,-982.355202971255,42.4533189573734
2,4,1,0,1,1,1,1,-375.23931146719,63.7991720467185
2,5,2,0,1,1,1,1,53.382466070324,85.7065703904434
2,6,1,0,1,1,1,1,-1674.94421355521,26.2054545642063
2,7,2,0,1,1,1,1,-1618.97486197241,27.0976937722638
2,8,1,0,1,1,1,1,-1943.67315351524,21.843186112997
2,9,1,0,2,1,1,1,-1360.61543990572,32.3673137266105
2,10,1,0,1,2,1,1,-1937.22237811038,21.9394617153995
2,11,1,0,1,1,1,1,-1900.00611028269,22.3467909620785
2,12,1,0,1,1,1,1,-1771.36469893104,24.439340733841
2,13,1,0,1,1,1,2,-2161.80771249468,18.6781897518658
2,14,1,0,1,1,1,1,-1714.99597119983,25.5478997044301
2,15,2,0,1,1,1,1,-2194.41929634953,18.2409383892377
2,16,1,0,2,1,1,1,-484.893856553069,59.6106638187683
2,17,1,0,1,2,1,1,-838.238145261958,46.376957854231
2,18,1,0,1,1,1,1,-2094.72238647873,19.5595540356385
2,19,1,0,1,1,1,1,-1182.38882293802,36.6262392729498
2,20,1,0,1,2,1,1,-1335.33511543015,33.0039906311611
2,21,1,0,2,1,1,1,-1063.86707574295,39.86930216112
2,22,1,0,1,1,1,1,-2103.29447132984,19.4399908481884
2,23,1,0,1,1,1,1,-737.009856176181,49.7579485984901
2,24,1,0,1,1,1,1,-1770.61174963522,24.5537675187704
2,25,1,0,1,1,1,1,-2142.6732165664,18.9048825690792
2,26,1,0,1,1,1,1,-1428.45273627064,30.88254717851
2,27,1,0,2,1,1,1,-163.788533649971,73.9334279180208
2,28,1,0,1,2,1,1,-2258.59022903683,17.4483968267126
2,29,1,0,1,2,1,1,-1930.33576249037,21.924196226816
2,30,1,0,1,2,1,1,-1065.42146752994,39.9793567092949
2,31,1,0,2,1,1,1,-1665.61904911218,26.2454913539181
2,32,1,0,1,1,1,1,-1282.47274858508,34.4086022870645
2,33,1,0,1,1,1,1,-1858.53350993557,22.9926988248895
2,34,1,0,1,2,1,1,-464.469269097791,60.2778177930971
2,35,1,0,1,1,1,1,-1808.08342966549,23.7992797830251
2,36,1,0,1,1,1,1,-1957.06158448568,21.5031621958388
2,37,1,0,1,1,1,1,-735.263965777515,50.1791077997886
2,38,1,0,1,1,1,1,-2063.11763967463,19.9926154063855
2,39,1,0,1,1,1,1,-1221.38287215244,35.656335783423
2,40,2,0,1,1,1,1,-660.480570588091,52.3729692544422
2,41,1,0,1,1,1,1,-312.868430173331,67.0723803009914
2,42,2,0,1,1,1,1,-966.23386461437,42.4548466919659
2,43,1,0,1,2,1,1,-1486.61083667746,29.814529844366
2,44,2,0,1,1,1,1,-736.798530415951,49.8799710740518
2,45,1,0,1,1,1,1,-2104.52642213123,19.418662114929
2,46,1,0,1,1,1,1,-1605.79750223053,27.5455851397574
2,47,1,0,1,1,1,2,-281.72751806341,67.9585192755604
2,48,1,0,1,1,1,1,-1516.40688323904,29.1866283987733
2,49,1,0,2,1,1,1,-737.210500759383,49.6892086625054
2,50,1,0,1,2,1,1,-1710.96895475302,25.543442159567
3,1,1,0,1,1,1,1,-77.1101814579552,78.2536572314072
3,2,1,0,1,1,1,2,-1489.83631179032,29.807663778425
3,3,1,0,1,1,1,2,-844.471046385354,46.5464667409569
3,4,1,0,1,1,1,1,-159.624833447061,73.9969082509887
3,5,1,0,1,1,1,1,197.462914959751,95.4303533239817
3,6,1,0,1,1,1,1,-1609.26319313732,27.3244184586371
3,7,1,0,1,1,1,1,-1523.31156989674,29.1397156390031
3,8,2,0,1,1,1,1,-1858.0047710496,22.982629323068
3,9,1,0,1,1,1,1,-1254.79832378273,34.8437893947913
3,10,1,0,1,2,1,1,-1832.33733755231,23.575678490671
3,11,1,0,1,1,1,1,-1656.92283444614,26.6396623817553
3,12,1,0,1,1,1,1,-1688.24488545682,26.0802888256387
3,13,1,0,1,1,1,1,-1889.29264078512,22.6809882030828
3,14,1,0,1,1,1,1,-1566.36415187694,28.1171100942457
3,15,1,0,1,1,1,2,-2093.12881374655,19.5551463952712
3,16,1,0,1,1,1,1,-400.35824146459,62.6668224091287
3,17,1,0,1,1,1,1,-733.198407259132,50.2294777590628
3,18,1,0,1,1,1,1,-1855.40648058306,23.057389052279
3,19,2,0,1,1,1,1,-935.695260065861,43.3301803356203
3,20,1,0,1,1,1,1,-1162.9502724202,37.4103450246419
3,21,1,0,2,1,1,1,-931.628838772809,43.4610721684879
3,22,1,0,1,1,1,1,-1953.96504165203,21.5976553738531
3,23,1,0,1,1,1,1,-578.945230042476,55.9667945606651
3,24,1,0,1,1,1,2,-1727.65386270267,25.1098786768843
3,25,1,0,1,1,1,1,-1953.15233251923,21.539958350213
3,26,1,0,2,1,1,1,-1105.23340620614,38.5727545840102
3,27,1,0,1,1,1,1,-168.46820364556,73.9797768995884
